customer_id,country,last_purchase_date,recency,frequency,monetary,r_score,f_score,m_score,segment
18102,United Kingdom,2011-11-28,33,142,597336.11,5,5,5,Champions
14646,Netherlands,2011-11-23,38,148,516874.5,5,5,5,Champions
14156,EIRE,2011-11-30,31,156,313946.37,5,5,5,Champions
14911,EIRE,2011-12-01,30,391,289670.66,5,5,5,Champions
17450,United Kingdom,2011-12-01,30,51,246973.09,5,5,5,Champions
13694,United Kingdom,2011-11-14,47,140,193351.65,4,5,5,Potential Loyalist
17511,United Kingdom,2011-11-23,38,58,168224.23,5,5,5,Champions
12415,Australia,2011-11-15,46,28,144458.37,5,5,5,Champions
16684,United Kingdom,2011-11-28,33,54,141740.79,5,5,5,Champions
15061,United Kingdom,2011-11-29,32,126,133922.66,5,5,5,Champions
16029,United Kingdom,2011-11-01,60,107,122209.14,4,5,5,Potential Loyalist
17949,United Kingdom,2011-12-02,29,116,116684.08,5,5,5,Champions
15311,United Kingdom,2011-12-02,29,206,115847.2,5,5,5,Champions
13089,United Kingdom,2011-12-01,30,201,112670.58,5,5,5,Champions
12931,United Kingdom,2011-11-18,43,57,92347.34,5,5,5,Champions
14298,United Kingdom,2011-12-01,30,82,91194.49,5,5,5,Champions
15769,United Kingdom,2011-12-02,29,46,88704.32,5,5,5,Champions
12346,United Kingdom,2011-01-18,347,12,77556.46,2,5,5,Needs Attention
13798,United Kingdom,2011-12-02,29,108,74672.43,5,5,5,Champions
15838,United Kingdom,2011-11-28,33,34,74163.0,5,5,5,Champions
17841,United Kingdom,2011-12-02,29,209,69074.93,5,5,5,Champions
16754,United Kingdom,2010-12-02,394,29,67502.47,2,5,5,Needs Attention
14088,United Kingdom,2011-11-29,32,16,64036.8,5,5,5,Champions
16422,United Kingdom,2011-11-22,39,109,63651.47,5,5,5,Champions
13081,United Kingdom,2011-11-28,33,28,59205.15,5,5,5,Champions
14680,United Kingdom,2011-11-14,47,58,57412.77,4,5,5,Potential Loyalist
16013,United Kingdom,2011-12-02,29,83,56655.4,5,5,5,Champions
17850,United Kingdom,2010-12-02,394,155,56600.08,2,5,5,Needs Attention
14096,United Kingdom,2011-11-28,33,16,56228.81,5,5,5,Champions
13777,United Kingdom,2011-12-01,30,59,56213.18,5,5,5,Champions
12748,United Kingdom,2011-12-04,27,331,55844.23,5,5,5,Champions
13093,United Kingdom,2011-03-09,297,55,54943.65,2,5,5,Needs Attention
17389,United Kingdom,2011-11-25,36,58,51347.9,5,5,5,Champions
13408,United Kingdom,2011-12-01,30,104,50870.62,5,5,5,Champions
17404,Sweden,2011-11-14,47,22,47543.12,4,5,5,Potential Loyalist
13881,United Kingdom,2011-11-28,33,42,44609.98,5,5,5,Champions
15749,United Kingdom,2011-04-18,257,3,44534.3,2,3,5,Needs Attention
16705,United Kingdom,2011-11-28,33,41,43264.53,5,5,5,Champions
14031,United Kingdom,2011-12-02,29,44,40999.17,5,5,5,Champions
15039,United Kingdom,2011-11-30,31,93,40031.43,5,5,5,Champions
17381,United Kingdom,2011-12-01,30,38,40002.37,5,5,5,Champions
15098,United Kingdom,2011-06-10,204,3,39916.5,3,3,5,Hibernating
12471,Germany,2011-11-29,32,78,37725.28,5,5,5,Champions
17675,United Kingdom,2011-12-01,30,69,37530.68,5,5,5,Champions
17677,United Kingdom,2011-11-11,50,52,35988.75,4,5,5,Potential Loyalist
12921,United Kingdom,2011-11-30,31,74,35921.04,5,5,5,Champions
16210,United Kingdom,2011-11-30,31,34,34890.11,5,5,5,Champions
13767,United Kingdom,2011-11-14,47,72,34654.55,4,5,5,Potential Loyalist
12678,France,2011-10-28,64,21,34281.18,4,5,5,Potential Loyalist
13902,Denmark,2010-03-17,654,5,34095.26,1,4,5,Can't Lose Them
15856,United Kingdom,2011-12-02,29,49,33164.54,5,5,5,Champions
16779,United Kingdom,2011-11-25,36,51,32311.18,5,5,5,Champions
14258,United Kingdom,2011-11-30,31,25,32051.34,5,5,5,Champions
17428,United Kingdom,2011-11-17,44,44,31404.16,5,5,5,Champions
12709,Germany,2011-11-24,37,34,31093.34,5,5,5,Champions
12681,France,2011-11-25,36,45,30868.28,5,5,5,Champions
14606,United Kingdom,2011-11-30,31,190,30505.35,5,5,5,Champions
17940,United Kingdom,2011-10-21,71,16,30393.19,4,5,5,Potential Loyalist
13078,United Kingdom,2011-11-29,32,56,28693.37,5,5,5,Champions
15513,United Kingdom,2011-11-06,55,35,27750.55,4,5,5,Potential Loyalist
14527,United Kingdom,2011-12-01,30,121,27430.96,5,5,5,Champions
16333,United Kingdom,2011-12-02,29,22,26626.8,5,5,5,Champions
13098,United Kingdom,2011-11-30,31,25,26516.68,5,5,5,Champions
17865,United Kingdom,2011-11-09,52,46,26374.39,4,5,5,Potential Loyalist
18251,United Kingdom,2011-09-13,109,9,26278.86,3,5,5,Hibernating
13802,United Kingdom,2011-07-24,160,19,26259.11,3,5,5,Hibernating
12731,France,2011-11-16,45,17,25775.71,5,5,5,Champions
17857,United Kingdom,2011-11-22,39,22,25702.64,5,5,5,Champions
14062,United Kingdom,2011-11-30,31,24,25604.2,5,5,5,Champions
12744,Singapore,2011-10-19,73,11,25317.06,4,5,5,Potential Loyalist
12939,United Kingdom,2011-10-06,86,20,25264.8,3,5,5,Hibernating
15498,United Kingdom,2011-11-22,39,43,25174.64,5,5,5,Champions
14895,United Kingdom,2011-12-02,29,38,25119.54,5,5,5,Champions
16525,United Kingdom,2011-11-23,38,47,24260.92,5,5,5,Champions
17920,United Kingdom,2011-12-01,30,53,24213.17,5,5,5,Champions
14607,United Kingdom,2011-11-24,37,22,24137.63,5,5,5,Champions
12482,Sweden,2010-05-12,598,29,23691.4,1,5,5,Can't Lose Them
12621,Germany,2011-11-16,45,34,23587.61,5,5,5,Champions
13001,United Kingdom,2011-11-17,44,32,23581.09,5,5,5,Champions
12409,Switzerland,2011-09-22,100,7,23419.29,3,4,5,Hibernating
12682,France,2011-11-30,31,51,23397.28,5,5,5,Champions
15640,United Kingdom,2011-11-23,38,28,22771.1,5,5,5,Champions
14063,United Kingdom,2010-09-27,460,9,22710.2,1,5,5,Can't Lose Them
16133,United Kingdom,2011-12-02,29,55,22683.04,5,5,5,Champions
17340,United Kingdom,2011-11-10,51,18,22404.82,4,5,5,Potential Loyalist
16839,United Kingdom,2011-12-01,30,44,22310.489999999998,5,5,5,Champions
12540,Spain,2011-11-20,41,33,22254.489999999998,5,5,5,Champions
13340,United Kingdom,2011-10-25,67,12,22100.56,4,5,5,Potential Loyalist
14667,United Kingdom,2011-11-29,32,54,21927.14,5,5,5,Champions
13319,United Kingdom,2011-11-22,39,57,21773.4,5,5,5,Champions
12753,Japan,2011-11-17,44,6,21429.39,5,4,5,Loyal Customers
15615,United Kingdom,2011-11-29,32,47,21373.97,5,5,5,Champions
14051,United Kingdom,2011-12-01,30,36,21230.1,5,5,5,Champions
14866,United Kingdom,2011-11-29,32,19,20850.22,5,5,5,Champions
15251,United Kingdom,2011-11-30,31,21,20324.54,5,5,5,Champions
17243,United Kingdom,2011-12-04,27,68,20285.56,5,5,5,Champions
15159,United Kingdom,2011-11-21,40,31,20281.94,5,5,5,Champions
12477,Germany,2011-11-17,44,9,20276.37,5,5,5,Champions
17706,United Kingdom,2011-10-26,66,30,19974.14,4,5,5,Potential Loyalist
18008,United Kingdom,2011-09-30,92,23,19787.13,3,5,5,Hibernating
17139,United Kingdom,2011-11-24,37,25,19584.46,5,5,5,Champions
16843,United Kingdom,2011-10-28,64,35,19571.43,4,5,5,Potential Loyalist
12557,Spain,2011-11-23,38,8,18716.14,5,4,5,Loyal Customers
15808,United Kingdom,2011-02-06,328,21,18409.93,2,5,5,Needs Attention
17377,United Kingdom,2011-11-16,45,78,18319.41,5,5,5,Champions
12357,Switzerland,2011-11-06,55,3,18287.66,4,3,5,Promising
13113,United Kingdom,2011-11-25,36,36,18286.53,5,5,5,Champions
14194,United Kingdom,2011-11-21,40,35,18186.49,5,5,5,Champions
12433,Norway,2011-11-30,31,8,17942.57,5,4,5,Loyal Customers
12647,Germany,2011-11-17,44,36,17924.35,5,5,5,Champions
12472,Germany,2011-11-07,54,19,17880.59,4,5,5,Potential Loyalist
17581,United Kingdom,2011-11-06,55,40,17773.07,4,5,5,Potential Loyalist
15078,United Kingdom,2011-12-02,29,53,17761.88,5,5,5,Champions
12901,United Kingdom,2011-12-01,30,28,17654.54,5,5,5,Champions
14952,United Kingdom,2011-10-11,81,32,17629.35,4,5,5,Potential Loyalist
16746,United Kingdom,2011-11-28,33,41,17616.48,5,5,5,Champions
16652,United Kingdom,2011-10-12,80,16,17550.39,4,5,5,Potential Loyalist
18172,United Kingdom,2011-11-25,36,52,17479.84,5,5,5,Champions
16019,United Kingdom,2011-10-24,68,27,17465.85,4,5,5,Potential Loyalist
15523,United Kingdom,2011-09-16,106,16,17359.99,3,5,5,Hibernating
13027,United Kingdom,2011-08-18,135,19,17335.2,3,5,5,Hibernating
17416,United Kingdom,2011-11-10,51,22,17298.45,4,5,5,Potential Loyalist
13564,United Kingdom,2011-07-18,166,37,17249.55,3,5,5,Hibernating
14277,France,2011-11-24,37,9,17225.81,5,5,5,Champions
15125,United Kingdom,2011-11-14,47,24,17024.87,4,5,5,Potential Loyalist
16656,United Kingdom,2011-11-17,44,30,16833.170000000002,5,5,5,Champions
15189,United Kingdom,2011-12-01,30,44,16771.56,5,5,5,Champions
12454,Spain,2011-10-14,78,5,16679.78,4,4,5,Promising
16553,United Kingdom,2011-06-29,185,33,16644.01,3,5,5,Hibernating
14961,United Kingdom,2011-11-29,32,22,16410.15,5,5,5,Champions
17735,United Kingdom,2011-11-02,59,25,16351.33,4,5,5,Potential Loyalist
16180,United Kingdom,2011-08-31,122,13,16249.87,3,5,5,Hibernating
12980,United Kingdom,2011-07-05,179,21,16245.78,3,5,5,Hibernating
15358,United Kingdom,2011-11-04,57,40,16220.35,4,5,5,Potential Loyalist
15044,United Kingdom,2011-11-20,41,35,16204.33,5,5,5,Champions
14733,United Kingdom,2011-11-23,38,15,16184.97,5,5,5,Champions
13199,United Kingdom,2011-12-02,29,66,16130.85,5,5,5,Champions
17107,United Kingdom,2011-11-06,55,10,16075.42,4,5,5,Potential Loyalist
17716,United Kingdom,2011-11-17,44,24,15956.97,5,5,5,Champions
12971,United Kingdom,2011-12-01,30,115,15869.99,5,5,5,Champions
14849,United Kingdom,2011-11-18,43,43,15763.45,5,5,5,Champions
18092,United Kingdom,2011-11-01,60,17,15617.6,4,5,5,Potential Loyalist
15768,United Kingdom,2011-08-16,137,34,15601.09,3,5,5,Hibernating
13488,United Kingdom,2011-11-22,39,23,15587.88,5,5,5,Champions
12949,United Kingdom,2011-11-09,52,22,15526.7,4,5,5,Potential Loyalist
16191,United Kingdom,2011-11-28,33,23,15443.36,5,5,5,Champions
14769,United Kingdom,2011-09-18,104,16,15429.91,3,5,5,Hibernating
15601,United Kingdom,2011-11-28,33,30,14960.12,5,5,5,Champions
14543,United Kingdom,2011-11-11,50,39,14906.77,4,5,5,Potential Loyalist
13225,United Kingdom,2011-10-10,82,15,14896.87,4,5,5,Potential Loyalist
18087,United Kingdom,2011-09-02,120,17,14761.52,3,5,5,Hibernating
16126,United Kingdom,2011-11-10,51,15,14646.8,4,5,5,Potential Loyalist
17133,United Kingdom,2011-11-24,37,12,14622.33,5,5,5,Champions
15482,United Kingdom,2011-11-24,37,19,14592.56,5,5,5,Champions
16713,United Kingdom,2011-11-21,40,32,14560.69,5,5,5,Champions
17448,United Kingdom,2010-07-30,519,46,14556.97,1,5,5,Can't Lose Them
14299,United Kingdom,2011-12-01,30,27,14499.49,5,5,5,Champions
15093,United Kingdom,2011-11-21,40,23,14326.11,5,5,5,Champions
12476,Germany,2011-11-24,37,23,14115.41,5,5,5,Champions
15005,United Kingdom,2011-11-24,37,56,14106.2,5,5,5,Champions
13090,United Kingdom,2011-12-01,30,24,14103.09,5,5,5,Champions
12714,France,2011-11-30,31,12,14093.71,5,5,5,Champions
13178,United Kingdom,2011-11-13,48,21,14059.19,4,5,5,Potential Loyalist
17589,United Kingdom,2011-10-10,82,18,14049.87,4,5,5,Potential Loyalist
15502,United Kingdom,2011-11-24,37,14,13993.47,5,5,5,Champions
